StateID,Year,Quarter,TotalProd,TaxableBottlesCansProd,TaxableKegsProd,TaxablePremUseProd,TaxFreeExportProd,TaxFreePremUseProd,StocksOnHand
OR,2017,Q1,430994.35,241416.21,106703.05,27500.73,,1192.29,138788.61
PA,2017,Q1,1127143.38,709868.05,220174.54,17862.27,,1343.63,436825.33
RI,2017,Q1,4097.07,,,1015.72,0.0,,1376.03
SC,2017,Q1,18600.45,4989.79,3629.64,8319.07,,,10069.89
SD,2017,Q1,2292.1,,731.47,1145.87,0.0,,1580.13
TN,2017,Q1,375642.13,305072.64,14527.58,7527.65,,642.48,115292.52
TX,2017,Q1,5447904.12,4473913.16,268937.49,34656.3,,1922.7,1118241.31
UT,2017,Q1,61458.05,30283.95,14926.9,2025.49,,,18325.55
VT,2017,Q1,102940.23,48477.28,15475.38,5954.39,,,21747.17
VA,2017,Q1,3474690.13,2773480.68,416782.72,23265.07,,244.88,683087.53
WA,2017,Q1,129666.67,31073.65,53944.33,19545.62,,1290.29,35822.4
WV,2017,Q1,2789.16,,,1868.18,0.0,,1174.82
WI,2017,Q1,2903684.99,2167653.77,283621.24,14032.64,16760.18,378.05,830419.05
WY,2017,Q1,10860.69,,1923.67,5062.24,0.0,,3841.94
AL,2017,Q2,14367.94,,2419.11,7856.66,0.0,167.62,4263.86
AK,2017,Q2,54774.67,,19498.45,4343.72,,218.02,13249.36
AZ,2017,Q2,50977.69,17821.77,19215.52,10522.76,0.0,547.0,9453.57
AR,2017,Q2,7345.15,,1396.48,3177.59,0.0,,2352.18
CA,2017,Q2,6162563.49,4767909.41,616144.59,75742.51,,3344.27,1413583.8
CO,2017,Q2,6163013.49,5094432.22,409797.03,42258.81,,3812.75,1570356.96
CT,2017,Q2,64294.7,34299.77,15981.83,5312.54,,284.01,17734.93
DE,2017,Q2,,,,2617.56,0.0,0.0,
DC,2017,Q2,8446.1,,,3162.1,0.0,,3592.55
FL,2017,Q2,,,291783.97,35946.68,21801.55,2266.46,589525.9
GA,2017,Q2,4402912.6,3783936.28,130405.28,12652.13,,1577.72,903009.66
HI,2017,Q2,21614.58,,9072.9,1951.23,,149.0,4812.52
ID,2017,Q2,12616.53,4307.47,4522.43,2421.33,0.0,,8117.65
IL,2017,Q2,413789.51,315437.65,59694.65,25489.92,,577.47,61641.92
IN,2017,Q2,49249.68,18827.19,16237.27,10784.87,0.0,578.96,13863.59
IA,2017,Q2,19213.36,1277.48,2737.91,12569.03,0.0,268.76,6509.51
KS,2017,Q2,10782.08,,3131.06,2923.9,0.0,,1437.01
KY,2017,Q2,40364.92,36936.49,8951.69,6731.19,,,20229.91
LA,2017,Q2,47432.61,,14533.47,4250.12,,157.57,
ME,2017,Q2,84359.48,33284.82,31230.23,9383.81,,545.66,30674.72
MD,2017,Q2,62313.99,26158.5,17203.76,8700.33,,652.35,19750.73
MA,2017,Q2,145557.49,65190.28,45037.63,24241.7,,801.65,36431.73
MI,2017,Q2,382056.37,225032.25,100859.19,33134.63,,1725.05,92487.71
MN,2017,Q2,179731.65,95740.43,43555.68,14674.63,,519.08,73983.63
MS,2017,Q2,5253.9,,,2051.3,0.0,,1252.57
MO,2017,Q2,,,,7807.36,,529.68,
MT,2017,Q2,47259.14,18430.17,12042.82,11721.03,0.0,488.52,16008.07
NE,2017,Q2,12292.85,3500.72,3591.83,5223.55,,,2906.52
NV,2017,Q2,11476.76,2037.47,2925.15,4689.21,,,3434.78
NH,2017,Q2,,,,6183.7,,138.41,
NJ,2017,Q2,,,,13022.67,,749.92,
NM,2017,Q2,27705.43,10166.38,9243.37,5775.5,0.0,212.52,7530.37
NY,2017,Q2,2578986.69,2154209.58,152668.84,20163.7,59615.54,829.58,688120.29
